command;intent
I need the cleaning brush in hand not on the shelf;PICK_UP
could the black sneaker_11 be taken from the floor;PICK_UP
please take up that tool from the middle shelf beside the green sandal the small spray_7 bottle;PICK_UP
set the needle and yarn next to the brown sandal down;PUT_DOWN
set down black_boot_5 on the bottom shelf;PUT_DOWN
put the held shoe on the floor;PUT_DOWN
put the brush next to sneaker_12 on the top shelf and let go;PUT_DOWN
drop canvas_sneaker_9 on the middle shelf;PUT_DOWN
leave boot_2 on the middle shelf;PUT_DOWN
put the cream next to the cleaning brush on the middle shelf;PUT_DOWN
set the red sneaker from your hand on the middle shelf;PUT_DOWN
put down the shoe on the top shelf;PUT_DOWN
set the sole hammer next to spray_7 on the bottom shelf;PUT_DOWN
put it down on the bottom shelf;PUT_DOWN
release the suede boot next to the cream;PUT_DOWN
put down the;PUT_DOWN
could you put wet_shoe_10 down in the drying area;PUT_DOWN
set down the red sandal next to the sole hammer on the bottom shelf;PUT_DOWN
drop the sole glue on the bottom shelf;PUT_DOWN
release the blue boot onto the middle shelf;PUT_DOWN
set the shoe next to the black boot in the drying area you are holding on the bottom shelf;PUT_DOWN
set the old rag down on the floor;PUT_DOWN
drop the boot in the drying area;PUT_DOWN
set down the red sneaker next to rag_4 on the floor on the middle shelf;PUT_DOWN
set the spray down in the drying area;PUT_DOWN
drop it in the drying area;PUT_DOWN
set that shoe down on the floor;PUT_DOWN
set the needle and yarn down on the top shelf;PUT_DOWN
put that shoe next to cream_5 inside the tool area on the middle shelf and let go;PUT_DOWN
leave the held boot on the floor;PUT_DOWN
set down the brush in the drying area;PUT_DOWN
put it down next to the green loafer;PUT_DOWN
leave the held sneaker next to the blue sneaker on the middle shelf on the floor;PUT_DOWN
leave cream on the bottom shelf;PUT_DOWN
please set the really dirty sneaker down;PUT_DOWN
set down canvas_sneaker_9 next to sole_glue_3 in the tool area on the top shelf;PUT_DOWN
set the sole_hammer down on the middle shelf;PUT_DOWN
put sneaker_1 down on the top shelf;PUT_DOWN
leave that shoe_6 in the drying area next to the red boot there on the floor;PUT_DOWN
leave the cleaner_2 on the top shelf;PUT_DOWN
set down brown_sandal_4 next to the muddy shoe;PUT_DOWN
put the green sandal on the top shelf next to brush_12 down on the bottom shelf;PUT_DOWN
drop the sole glue on the floor;PUT_DOWN
drop it on the bottom shelf;PUT_DOWN
release the green sneaker onto the bottom shelf;PUT_DOWN
release the rag inside the tool area next to the spray bottle onto the top shelf;PUT_DOWN
please set the blue sandal down;PUT_DOWN
put leather_shoe_4 in the drying area;PUT_DOWN
put the spray_t_3 from the middle shelf next to the green sandal down now;PUT_DOWN
set down the blue canvas high boot on the top shelf;PUT_DOWN
could you put the shoe down on the middle shelf;PUT_DOWN
put the needle_and_yarn_1 on the floor next to cleaner_3 on the top shelf;PUT_DOWN
leave dirty_sneaker_6 in the drying area;PUT_DOWN
please set the sandal down;PUT_DOWN
put the brush next to the hammer inside the drying area next to spray_7 down on the floor;PUT_DOWN
put down the yellow sandal on the top shelf;PUT_DOWN
leave the held sandal next to the brown boot;PUT_DOWN
release the cream_6 next to the canvas boot on the bottom shelf into the drying area;PUT_DOWN
set the black sneaker down on the bottom shelf;PUT_DOWN
drop the shoe_6 you have on the top shelf;PUT_DOWN
could you put the sole hammer next to needle_and_yarn_1 in the tool area down on the floor;PUT_DOWN
set that shoe_29 down on the bottom shelf;PUT_DOWN
drop the red boot next to sandal_3;PUT_DOWN
put cleaner_2 next to the brown sandal down;PUT_DOWN
take the shoe_6 out of your hand and put it in the drying area;PUT_DOWN
put down the white sneaker_12 on the floor;PUT_DOWN
set down the sole glue in the drying area;PUT_DOWN
put the shoe next to sneaker_12 in your hand down on the bottom shelf;PUT_DOWN
set the shoe_1 you are holding on the floor;PUT_DOWN
take the rag out of your hand and put it on the floor;PUT_DOWN
set the very dirty yellow boot next to the cleaning brush down in the drying area;PUT_DOWN
put it down in the drying area;PUT_DOWN
put the spray down now;PUT_DOWN
set the yellow boot_11 from your hand on the bottom shelf;PUT_DOWN
please set the leather sneaker next to spray down;PUT_DOWN
drop the needle and yarn on the floor;PUT_DOWN
drop green_sandal_9 on the floor;PUT_DOWN
release the brown canvas sandal next to the sole hammer onto the floor;PUT_DOWN
drop the brush you have on the floor;PUT_DOWN
put down the shoe next to the yellow partly protected sneaker;PUT_DOWN
set the sandal next to the clean black boot in the drying area down on the middle shelf;PUT_DOWN
put the cream on the bottom shelf and let go;PUT_DOWN
set brown_boot_6 from your hand in the drying area;PUT_DOWN
drop sandal_3 next to rag_4 on the floor in the drying area;PUT_DOWN
put the sole hammer down beside the red leather sandal;PUT_DOWN
please set the boot down;PUT_DOWN
drop the yellow sneaker next to cream_5 inside the tool area on the bottom shelf;PUT_DOWN
leave cleaner_2 next to the protected sneaker;PUT_DOWN
release the low sandal onto the middle shelf;PUT_DOWN
leave sneaker_1 next to the blue sneaker on the middle shelf on the top shelf;PUT_DOWN
release the sole glue onto the bottom shelf;PUT_DOWN
put the held shoe_4 on the bottom shelf;PUT_DOWN
drop the shoe next to sole_glue_3 in the tool area;PUT_DOWN
leave the rag on the top shelf;PUT_DOWN
drop the red low sneaker on the middle shelf;PUT_DOWN
put canvas_sneaker_9 in the drying area next to the red boot down on the floor;PUT_DOWN
set the spray_t_3 down on the bottom shelf;PUT_DOWN
put the held shoe next to the white boot;PUT_DOWN
leave boot_2 on the top shelf next to brush_12 in the drying area;PUT_DOWN
drop the needle_and_yarn_1 on the middle shelf;PUT_DOWN
could you put the shoe_8 down on the bottom shelf;PUT_DOWN
set shoe_1 inside the tool area next to the spray bottle you are holding on the top shelf;PUT_DOWN
put down the spare brush_6 on the bottom shelf;PUT_DOWN
put the rubber sneaker down next to the old rag;PUT_DOWN
put the white boot down now;PUT_DOWN
set the cream from the middle shelf next to the green sandal down on the bottom shelf;PUT_DOWN
set the black sandal down next to s_4;PUT_DOWN
put down the green suede boot in the drying area;PUT_DOWN
put the hammer on the floor next to cleaner_3 down;PUT_DOWN
set down sandal_88 on the bottom shelf;PUT_DOWN
drop the shoe_8 you have on the bottom shelf;PUT_DOWN
set the cleaner_2 next to the hammer inside the drying area next to spray_7;PUT_DOWN
put dirty_sneaker_6 down now;PUT_DOWN
leave the held sandal on the floor;PUT_DOWN
set the sole_glue_3 next to the canvas boot on the bottom shelf down on the top shelf;PUT_DOWN
drop the brown sneaker on the middle shelf next to the blue loafer;PUT_DOWN
put the canvas sneaker down in the drying area;PUT_DOWN
set the rag next to needle_and_yarn_1 in the tool area you are holding on the middle shelf;PUT_DOWN
put the a little dirty sandal down now;PUT_DOWN
leave the held boot in the drying area;PUT_DOWN
put the spray next to the brown sandal down on the top shelf;PUT_DOWN
drop sneaker_1 on the top shelf;PUT_DOWN
drop it on the top shelf;PUT_DOWN
leave the needle and yarn in the drying area;PUT_DOWN
take the shoe next to sneaker_12 out of your hand and put it on the bottom shelf;PUT_DOWN
leave the held boot on the bottom shelf;PUT_DOWN
take the spare brush_6 out of your hand and put it on the top shelf;PUT_DOWN
put down the clean shoe next to the cleaning brush on the floor;PUT_DOWN
put the yellow boot_6 down on the top shelf;PUT_DOWN
release cream_6 into the drying area;PUT_DOWN
put the sneaker_7 next to spray_7 down now;PUT_DOWN
set leather_shoe_4 on the floor and release it;PUT_DOWN
leave the sole hammer there on the top shelf;PUT_DOWN
put it down on the floor;PUT_DOWN
drop the medium dirty shoe next to the sole hammer you have in the drying area;PUT_DOWN
drop the cleaner on the middle shelf;PUT_DOWN
release the red sandal onto the bottom shelf;PUT_DOWN
release brown_boot_6 next to the black boot in the drying area onto the floor;PUT_DOWN
could you put red_shoe_8 down on the top shelf;PUT_DOWN
release the black boot onto the top shelf;PUT_DOWN
set down the black leather sandal next to rag_4 on the floor on the floor;PUT_DOWN
leave wet_boot_11 on the middle shelf;PUT_DOWN
set the green boot_8 from your hand on the top shelf;PUT_DOWN
set down the green boot in the drying area;PUT_DOWN
set down the red boot next to cream_5 inside the tool area on the top shelf;PUT_DOWN
set the shoe you are holding in the drying area;PUT_DOWN
put down the shoe in the drying area;PUT_DOWN
drop the suede boot_2 next to the blue sneaker on the middle shelf on the floor;PUT_DOWN
release sandal_3 onto the middle shelf;PUT_DOWN
put down the sneaker_12 on the middle shelf;PUT_DOWN
please set the brown sandal_4 next to sole_glue_3 in the tool area down;PUT_DOWN
set the yellow boot down on the bottom shelf;PUT_DOWN
set the sandal down on the top shelf;PUT_DOWN
could you release rag_4 in the drying area next to the red boot onto the floor for now;PUT_DOWN
please put the repair hammer down on the tool area;PUT_DOWN
set brush_12 somewhere safe preferably the middle shelf;PUT_DOWN
I am finished holding spray_7 on the top shelf next to brush_12 leave it in the tool area;PUT_DOWN
sole_glue_3 can be laid down next to the repair tools;PUT_DOWN
please drop the red cleaner gently on the bottom shelf;PUT_DOWN
put down the blue boot_9 inside the tool area next to the spray bottle before doing anything else with it;PUT_DOWN
could you leave the cream_5 out of the hand next to the black sneaker;PUT_DOWN
the needle and yarn should be set down now;PUT_DOWN
place the rag from the middle shelf next to the green sandal;PUT_DOWN
use the sole hammer on the brown sandal_3 next to the brown sandal to fix the sole;REPAIR
repair the;REPAIR
repair the sole of the red sandal with the sole glue;REPAIR
repair the sole of the yellow sneaker with the sole glue;REPAIR
use sole glue next to sneaker_12 to repair the canvas boot;REPAIR
hammer the sole of the boot back into shape;REPAIR
make the green boot usable again with the needle and yarn;REPAIR
please repair the blue rubber sandal_4 next to the cleaning brush;REPAIR
repair the material damage on the green sandal;REPAIR
make the boot usable again with the sole hammer;REPAIR
use sole glue next to spray_7 to repair the red sneaker;REPAIR
fix the worn sole of the boot_6;REPAIR
mend the material of the white rubber sandal with needle and yarn;REPAIR
fix the loose sole on the blue sneaker with the sole glue;REPAIR
use the sole hammer on the brown leather sneaker next to the sole hammer to fix the sole;REPAIR
glue the sole back onto the blue sneaker;REPAIR
please repair the green boot;REPAIR
can you fix the damaged sole on the red sneaker next to the black boot in the drying area;REPAIR
repair the material damage on the canvas sneaker;REPAIR
use sole glue to repair the boot_8;REPAIR
fix the sandal next to rag_4 on the floor with the needle and yarn;REPAIR
the sole is loose repair the sandal with glue;REPAIR
repair the sole;REPAIR
please repair the leather boot;REPAIR
make the black sneaker usable again with the sole glue next to cream_5 inside the tool area;REPAIR
fix the broken part of the blue sneaker;REPAIR
use sole glue to repair the red rubber sandal;REPAIR
use the sole hammer on the sneaker_4 next to the blue sneaker on the middle shelf to fix the sole;REPAIR
use the sole hammer on the white sandal_9 to fix the sole;REPAIR
the sole is loose repair rubber_sandal_6 with glue;REPAIR
use the sole hammer next to sole_glue_3 in the tool area on the yellow boot to fix the sole;REPAIR
can you fix the broken sole on the brown suede sneaker;REPAIR
use the sole hammer on the yellow sneaker to fix the sole;REPAIR
patch the scratched material on the sneaker in the drying area next to the red boot;REPAIR
use sole glue to repair the brown sandal;REPAIR
sew the cracked material on the brown sandal with needle and yarn;REPAIR
fix the broken part of the black boot;REPAIR
repair the sandal_4 with the sole hammer on the top shelf next to brush_12;REPAIR
sew the cracked material on sneaker_1 with needle and yarn;REPAIR
fix the broken part of the black rubber boot_3;REPAIR
can you fix the damaged sole on the red boot inside the tool area next to the spray bottle;REPAIR
glue the sole;REPAIR
hammer the sole of the sandal_4 back into shape;REPAIR
fix the green rubber sneaker with the needle and yarn from the middle shelf next to the green sandal;REPAIR
can you fix the damaged sole on canvas_sneaker_9;REPAIR
hammer the sole of the brown suede sandal back into shape;REPAIR
make the white sandal_88 on the floor next to cleaner_3 usable again with the needle and yarn;REPAIR
mend the material of the low sandal with needle and yarn;REPAIR
please repair green_sandal_9;REPAIR
patch the scratched material on the blue canvas sandal next to the hammer inside the drying area next to spray_7;REPAIR
fix the loose sole on the boot with the sole glue;REPAIR
the sole is loose repair the sneaker with glue;REPAIR
fix the blue sneaker next to the canvas boot on the bottom shelf with the sole glue;REPAIR
repair dirty_sneaker_6 with the needle and yarn;REPAIR
hammer the sole of the green rubber sneaker back into shape;REPAIR
make the yellow sandal_3 usable again with the sole hammer next to needle_and_yarn_1 in the tool area;REPAIR
repair the material damage on the yellow canvas sneaker;REPAIR
hammer the sole of the blue sneaker back into shape;REPAIR
use sole glue to repair the green leather sneaker;REPAIR
fix the leather sandal_6 next to the brown sandal with the needle and yarn;REPAIR
mend the material of the black sneaker with needle and yarn;REPAIR
repair the sole of dirty_sneaker_6 with the sole glue;REPAIR
the sole is loose repair the rubber sneaker with glue next to sneaker_12;REPAIR
use the sole hammer on the sandal to fix the sole;REPAIR
fix the loose sole on the black suede sandal with the sole glue;REPAIR
repair the black suede sandal next to the cleaning brush with the needle and yarn;REPAIR
repair the sandal with the sole glue;REPAIR
repair the material damage on the red sneaker;REPAIR
repair the rubber sneaker_12 with the needle and yarn next to spray_7;REPAIR
repair the material damage on the sneaker;REPAIR
mend the material of the red sneaker with needle and yarn;REPAIR
make the red sandal next to the sole hammer usable again with the needle and yarn;REPAIR
please repair the green rubber sandal;REPAIR
repair wet_boot_11 with the sole hammer;REPAIR
repair rubber_sandal_6 with the needle and yarn next to the black boot in the drying area;REPAIR
repair the protected shoe sole with the sole glue;REPAIR
repair the cracked leather on the boot;REPAIR
repair the loose sole before the walk;REPAIR
make the brown sandal next to rag_4 on the floor usable again using the sole glue;REPAIR
the sole is loose repair brown_boot_6 with glue;REPAIR
the sneaker is damaged fix it with needle and yarn;REPAIR
fix the loose sole on the yellow boot_3 with the sole glue;REPAIR
fix the loose sole on leather_boot_3 with the sole glue next to cream_5 inside the tool area;REPAIR
the sole is loose repair the green boot with glue;REPAIR
fix the broken part of the leather sneaker;REPAIR
make the yellow boot next to the blue sneaker on the middle shelf usable again with the needle and yarn;REPAIR
use the sole hammer on the rubber boot to fix the sole;REPAIR
repair the canvas boot with the needle and yarn;REPAIR
patch the scratched material on the white suede boot next to sole_glue_3 in the tool area;REPAIR
fix the boot with;REPAIR
use the sole hammer on the green sandal_3 to fix the sole;REPAIR
the boot_8 in the drying area next to the red boot is damaged fix it with the sole hammer;REPAIR
repair the brown sandal with the needle and yarn;REPAIR
repair the sole of the clean sneaker with the sole glue;REPAIR
use the sole hammer on the top shelf next to brush_12 on the black boot to fix the sole;REPAIR
repair the material damage on the black suede sneaker;REPAIR
repair the material damage on the suede boot;REPAIR
repair the sole of the yellow mid boot inside the tool area next to the spray bottle with the sole glue;REPAIR
please repair the green leather low sandal;REPAIR
use sole glue to repair the leather sandal;REPAIR
can you fix the damaged sole on sandal_3 from the middle shelf next to the green sandal;REPAIR
repair the material damage on the blue sandal_88;REPAIR
patch the scratched material on the white sandal_4;REPAIR
use sole glue to repair the red sandal;REPAIR
patch the scratched material on the white leather sandal on the floor next to cleaner_3;REPAIR
make the sandal usable again with the sole glue;REPAIR
can you fix the damaged sole on black_boot_5;REPAIR
use sole glue to repair leather_boot_3 next to the hammer inside the drying area next to spray_7;REPAIR
sew the cracked material on the high boot with needle and yarn;REPAIR
use the sole hammer on the red sandal to fix the sole;REPAIR
sew up the damaged canvas sneaker next to the canvas boot on the bottom shelf;REPAIR
use sole glue to repair the sandal;REPAIR
repair the sole of the brown sneaker with the sole glue;REPAIR
make the white sandal_9 usable again with the sole hammer next to needle_and_yarn_1 in the tool area;REPAIR
hammer the sole of brown_boot_6 back into shape;REPAIR
fix the shoe where the material is cracked;REPAIR
mend the material of the black boot_5 next to the brown sandal with needle and yarn;REPAIR
use needle and yarn on brown_sandal_4 material;REPAIR
the sneaker is damaged fix it with the sole hammer;REPAIR
glue the sole back onto blue_sneaker_4 next to sneaker_12;REPAIR
the sneaker is damaged fix it with the sole glue;REPAIR
can you fix the damaged sole on the black boot;REPAIR
sew the cracked material on the white boot next to the cleaning brush with needle and yarn;REPAIR
make blue_sneaker_4 usable again with the sole hammer;REPAIR
repair the material damage on the suede sneaker;REPAIR
fix the broken part of boot_2;REPAIR
repair the sole of the blue boot with the sole glue next to spray_7;REPAIR
repair the red suede sandal with the sole hammer;REPAIR
patch the scratched material on the suede boot;REPAIR
the sandal next to the sole hammer is damaged fix it with the sole glue;REPAIR
patch the scratched material on the black sandal_3;REPAIR
repair the sole of the sandal with the sole glue;REPAIR
can you fix the damaged sole on leather_boot_3 next to the black boot in the drying area;REPAIR
sew the material;REPAIR
repair the material damage on the leather sneaker;REPAIR
make the sneaker_4 usable again with the sole glue;REPAIR
repair the brown boot next to rag_4 on the floor with the sole glue;REPAIR
glue the sole back onto the yellow canvas sandal;REPAIR
repair the material damage on the sandal;REPAIR
fix the boot with the sole glue next to cream_5 inside the tool area;REPAIR
can you fix the damaged sole on the sandal_3;REPAIR
glue the sole back onto the yellow sneaker_4;REPAIR
glue the sole back onto the black suede sneaker next to the unprotected sneaker on the middle shelf;REPAIR
fix the shoe;REPAIR
sew the cracked material on the boot with needle and yarn;REPAIR
repair the sole of boot_2 with the sole glue next to sole_glue_3 in the tool area;REPAIR
repair the material damage on the white sandal;REPAIR
sew the cracked material on the yellow sandal_4 with needle and yarn;REPAIR
please repair the black sneaker;REPAIR
repair the material damage on the rubber sneaker in the drying area next to the red boot;REPAIR
boot_3 needs repairing the sole is almost loose;REPAIR
the shoe should be fixed with sole_glue_3 especially underneath;REPAIR
could you repair the cracked material on brown_sandal_4 on the top shelf next to brush_12;REPAIR
please get sneaker_14 repaired before the walk;REPAIR
I want the damaged sole mended with the repair hammer;REPAIR
fixing is needed on the leather part of this boot inside the tool area next to the spray bottle;REPAIR
can the loose bottom of the shoe be glued back;REPAIR
please mend the scratched sandal with needle_and_yarn_2;REPAIR
the worn sole should be repaired not cleaned;REPAIR
use the needle and yarn from the middle shelf next to the green sandal to repair the canvas sneaker;REPAIR
clean the dirty red sneaker next to the black boot with brush_1;CLEAN
clean the clean black boot on the middle shelf with rag_1 next to the brush;CLEAN
clean the medium_dirty brown sandal next to the green sneaker with cleaner_1 inside the tool area;CLEAN
clean the a_little_dirty blue sneaker from the bottom shelf with brush_1 next to rag_1;CLEAN
clean the very_dirty green boot next to the red sandal with rag_1 in the tool area;CLEAN
clean the dirty red sandal inside the drying area with cleaner_1 next to the spray;CLEAN
clean the clean black sneaker next to the brown boot with brush_1 from the tool area;CLEAN
clean the medium dirty brown boot on the floor with rag_1 next to cleaner_1;CLEAN
clean the a little dirty blue sandal next to the red sneaker with cleaner_1 in the top shelf;CLEAN
clean the very dirty green sneaker inside the drying area next to the boot with brush_1 next to the rag;CLEAN
clean the dirty red boot with rag_1;CLEAN
clean the clean black sandal with cleaner_1;CLEAN
clean the medium_dirty brown sneaker with brush_1;CLEAN
clean the a_little_dirty blue boot with rag_1;CLEAN
clean the very_dirty green sandal with cleaner_1;CLEAN
pick up the dirty red sneaker next to the black boot;PICK_UP
pick up the clean black boot from the middle shelf;PICK_UP
pick up the medium dirty brown sandal next to brush_1;PICK_UP
pick up the a little dirty blue sneaker on the bottom shelf;PICK_UP
pick up the very dirty green boot next to cleaner_1;PICK_UP
pick up the dirty red sandal inside the drying area;PICK_UP
pick up the clean black sneaker next to the blue boot;PICK_UP
pick up the medium_dirty brown boot from the top shelf;PICK_UP
pick up the a_little_dirty blue sandal next to rag_1;PICK_UP
pick up the very_dirty green sneaker on the floor;PICK_UP
pick up the dirty red boot;PICK_UP
pick up the clean black sandal;PICK_UP
move the medium dirty brown sneaker next to spray_1 to the bottom shelf;MOVE
move the a little dirty blue boot from the top shelf to the drying area;MOVE
move the very dirty green sandal next to rag_1;MOVE
move the dirty red sneaker on the floor to the top shelf;MOVE
move the clean black boot next to the brown sandal;MOVE
move the medium_dirty brown sandal from the floor to the bottom shelf;MOVE
move the a_little_dirty blue sneaker next to cleaner_1;MOVE
move the very_dirty green boot on the bottom shelf to the tool area;MOVE
move the dirty red sandal next to the black sneaker;MOVE
move the clean black sneaker from the tool area to the middle shelf;MOVE
move the medium dirty brown boot to the bottom shelf;MOVE
move the a little dirty blue sandal to the drying area;MOVE
put down the very dirty green sneaker next to the blue sandal in the drying area;PUT_DOWN
put down the dirty red boot from the hand on the top shelf;PUT_DOWN
put down the clean black sandal next to rag_1 on the middle shelf;PUT_DOWN
put down the medium_dirty brown sneaker next to brush_1 on the bottom shelf;PUT_DOWN
put down the a_little_dirty blue boot inside the drying area next to the green sandal;PUT_DOWN
put down the very_dirty green sandal next to cleaner_1 on the tool area;PUT_DOWN
put down the dirty red sneaker on the top shelf;PUT_DOWN
put down the clean black boot next to the brown sandal on the middle shelf;PUT_DOWN
put down the medium dirty brown sandal on the bottom shelf next to spray_1;PUT_DOWN
put down the a little dirty blue sneaker inside the drying area next to the black boot;PUT_DOWN
protect the unprotected red canvas sneaker next to the black boot with spray_1 from the tool area;IMPREGNATE
protect the protected black leather boot on the middle shelf with cream_1 next to spray_1;IMPREGNATE
protect the partly_protected brown suede sandal next to the green sneaker with spray_1 inside the tool area;IMPREGNATE
protect the unprotected blue rubber sneaker from the bottom shelf with cream_1 next to the spray;IMPREGNATE
protect the protected green canvas boot next to the red sandal using spray_1 on the tool area;IMPREGNATE
protect the partly protected red leather sandal inside the drying area with cream_1 next to spray_1;IMPREGNATE
protect the unprotected black suede sneaker next to the brown boot with spray_1 from the tool area;IMPREGNATE
protect the protected brown rubber boot on the floor with cream_1 next to the spray;IMPREGNATE
protect the partly_protected blue canvas sandal next to the red sneaker with spray_1 on the top shelf;IMPREGNATE
protect the unprotected green leather sneaker next to the boot inside the drying area with cream_1 next to spray_1;IMPREGNATE
protect the protected red suede boot with spray_1;IMPREGNATE
protect the partly protected black rubber sandal with cream_1;IMPREGNATE
protect the unprotected brown canvas sneaker with spray_1;IMPREGNATE
protect the protected blue leather boot using cream_1;IMPREGNATE
protect the partly_protected green suede sandal with spray_1;IMPREGNATE
protect the unprotected red rubber sneaker with cream_1;IMPREGNATE
pick up the protected black boot;PICK_UP
pick up the partly protected brown sandal;PICK_UP
pick up the unprotected blue sneaker;PICK_UP
pick up the protected green boot;PICK_UP
pick up the partly_protected red sandal;PICK_UP
pick up the unprotected black sneaker;PICK_UP
pick up the protected brown boot;PICK_UP
pick up the partly protected blue sandal;PICK_UP
pick up the unprotected green sneaker;PICK_UP
pick up the protected red boot;PICK_UP
move the partly_protected black sandal to the middle shelf;MOVE
move the unprotected brown sneaker to the bottom shelf;MOVE
move the protected blue boot to the drying area;MOVE
move the partly protected green sandal to the tool area;MOVE
move the unprotected red sneaker to the top shelf;MOVE
move the protected black boot to the middle shelf;MOVE
move the partly_protected brown sandal to the bottom shelf;MOVE
move the unprotected blue sneaker to the drying area;MOVE
move the protected green boot to the tool area;MOVE
move the partly protected red sandal to the top shelf;MOVE
go on a short walk with the unprotected black sneaker next to the brown boot in sunny weather;GO_ON_WALK
go on a normal walk with the protected brown boot from the top shelf in snowy weather;GO_ON_WALK
go on a short walk with the partly_protected blue sandal next to the rag in stormy weather;GO_ON_WALK
go on a short walk with the unprotected green sneaker on the bottom shelf in stormy weather;GO_ON_WALK
go on a short walk with the protected red boot next to spray_1 in rainy weather;GO_ON_WALK
go on a medium long walk with the partly protected black sandal inside the drying area in sunny weather;GO_ON_WALK
go on a regular walk with the unprotected brown sneaker next to the green boot in snowy weather;GO_ON_WALK
go on a short walk with the protected blue boot from the middle shelf in cloudy weather;GO_ON_WALK
go on a short walk with the partly_protected green sandal next to cleaner_1 in stormy weather;GO_ON_WALK
go on a extended walk with the unprotected red sneaker on the floor in rainy weather;GO_ON_WALK
repair the scratched red canvas sneaker next to the brown sandal with glue_1 next to needle_1;REPAIR
repair the cracked black leather boot on the middle shelf with needle_1 from the tool area;REPAIR
repair the damaged brown suede sandal next to the black sneaker with glue_1 inside the tool area;REPAIR
repair the good blue rubber sneaker from the bottom shelf with needle_1 next to glue_1;REPAIR
repair the scratched green canvas boot next to the red sandal with glue_1 on the tool area;REPAIR
repair the cracked red leather sandal inside the drying area with needle_1 next to the hammer;REPAIR
repair the damaged black suede sneaker next to the brown boot with glue_1 from the tool area;REPAIR
repair the good brown rubber boot on the floor with needle_1 next to glue_1;REPAIR
repair the scratched blue canvas sandal next to the red sneaker with glue_1 on the top shelf;REPAIR
repair the cracked green leather sneaker next to the boot with needle_1 inside the drying area next to glue_1;REPAIR
pick up the damaged red boot;PICK_UP
pick up the good black sandal;PICK_UP
pick up the scratched brown sneaker;PICK_UP
pick up the cracked blue boot;PICK_UP
pick up the damaged green sandal;PICK_UP
pick up the good red sneaker;PICK_UP
pick up the scratched black boot;PICK_UP
pick up the cracked brown sandal;PICK_UP
move the damaged blue sneaker to the drying area;MOVE
move the good green boot to the tool area;MOVE
move the scratched red sandal to the top shelf;MOVE
move the cracked black sneaker to the middle shelf;MOVE
move the damaged brown boot to the bottom shelf;MOVE
move the good blue sandal to the drying area;MOVE
move the scratched green sneaker to the tool area;MOVE
move the cracked red boot to the top shelf;MOVE
clean the damaged black sandal with rag_1;CLEAN
clean the good brown sneaker with rag_1;CLEAN
clean the scratched blue boot with rag_1;CLEAN
clean the cracked green sandal with rag_1;CLEAN
clean the damaged red sneaker with rag_1;CLEAN
clean the good black boot with rag_1;CLEAN
clean the scratched brown sandal with rag_1;CLEAN
dry the wet red sneaker next to the black boot;DRY
dry the dry black boot on the middle shelf;DRY
dry the soaked brown sandal next to the green sneaker;DRY
dry the wet blue sneaker from the bottom shelf;DRY
dry the dry green boot next to cleaner_1;DRY
dry the soaked red sandal inside the drying area;DRY
dry the wet black sneaker next to the brown boot;DRY
dry the dry brown boot on the floor;DRY
dry the soaked blue sandal next to spray_1;DRY
dry the wet green sneaker on the top shelf;DRY
move the dry red boot to the top shelf;MOVE
move the soaked black sandal to the middle shelf;MOVE
move the wet brown sneaker to the bottom shelf;MOVE
move the dry blue boot to the drying area;MOVE
move the soaked green sandal to the tool area;MOVE
move the wet red sneaker to the top shelf;MOVE
move the dry black boot to the middle shelf;MOVE
protect the soaked brown sandal with cream_1;IMPREGNATE
protect the wet blue sneaker with spray_1;IMPREGNATE
protect the dry green boot with cream_1;IMPREGNATE
protect the soaked red sandal with spray_1;IMPREGNATE
protect the wet black sneaker with cream_1;IMPREGNATE
protect the dry brown boot with spray_1;IMPREGNATE
pick up the soaked blue sandal;PICK_UP
pick up the wet green sneaker;PICK_UP
pick up the dry red boot;PICK_UP
pick up the soaked black sandal;PICK_UP
pick up the wet brown sneaker;PICK_UP
pick up the dry blue boot;PICK_UP
go on a long walk with the red sneaker in rainy weather;GO_ON_WALK
go on a short walk with the black boot in sunny weather;GO_ON_WALK
go on a long walk with the brown sandal in snowy weather;GO_ON_WALK
go on a short walk with the blue sneaker in muddy weather;GO_ON_WALK
go on a medium long walk with the green boot in stormy weather;GO_ON_WALK
go on a quick walk with the red sandal in rainy weather;GO_ON_WALK
go on a long walk with the black sneaker in sunny weather;GO_ON_WALK
go on a normal walk with the brown boot in snowy weather;GO_ON_WALK
go on a little walk with the blue sandal in muddy weather;GO_ON_WALK
go on a long walk with the green sneaker in stormy weather;GO_ON_WALK
go on a fast walk with the red boot in rainy weather;GO_ON_WALK
go on a long walk with the black sandal in sunny weather;GO_ON_WALK
dry the brown sneaker after snowy weather;DRY
dry the blue boot after muddy weather;DRY
dry the green sandal after stormy weather;DRY
dry the red sneaker after rainy weather;DRY
dry the black boot after sunny weather;DRY
dry the brown sandal after snowy weather;DRY
protect the blue sneaker before muddy weather with spray_1;IMPREGNATE
protect the green boot before stormy weather with spray_1;IMPREGNATE
protect the red sandal before rainy weather with spray_1;IMPREGNATE
protect the black sneaker before sunny weather with spray_1;IMPREGNATE
protect the brown boot before snowy weather with spray_1;IMPREGNATE
move the blue sandal away from muddy weather to the drying area;MOVE
move the green sneaker away from stormy weather to the tool area;MOVE
move the red boot away from rainy weather to the top shelf;MOVE
move the black sandal away from sunny weather to the middle shelf;MOVE
move the brown sneaker away from snowy weather to the bottom shelf;MOVE
